team,year,name,country,state,district,rookie_year,district_points,district_rank,epa.total_points.mean,epa.total_points.sd,epa.unitless,epa.norm,epa.conf,epa.breakdown.total_points,epa.stats.start,epa.stats.pre_champs,epa.stats.max,epaRanksTotalRank,epa.ranks.total.percentile,epaRanksTotalTeam_count,epa.ranks.country.rank,epa.ranks.country.percentile,epa.ranks.country.team_count,epa.ranks.state.rank,epa.ranks.state.percentile,epa.ranks.state.team_count,epa.ranks.district.rank,epa.ranks.district.percentile,epa.ranks.district.team_count,record.wins,record.losses,record.ties,record.count,record.winrate,epa.breakdown.auto_points,epa.breakdown.teleop_points,epa.breakdown.endgame_points,epa.breakdown.defenses_rp,epa.breakdown.tower_rp,epa.breakdown.tiebreaker_points,epa.breakdown.auto_reach_points,epa.breakdown.auto_crossing_points,epa.breakdown.auto_low_boulders,epa.breakdown.auto_high_boulders,epa.breakdown.teleop_crossing_points,epa.breakdown.teleop_low_boulders,epa.breakdown.teleop_high_boulders,epa.breakdown.challenge_points,epa.breakdown.scale_points,epa.breakdown.defenses,epa.breakdown.boulders,epa.breakdown.rp_1,epa.breakdown.rp_2,epa.breakdown.rotor_rp,epa.breakdown.kpa_rp,epa.breakdown.auto_mobility_points,epa.breakdown.auto_fuel_low,epa.breakdown.auto_fuel_high,epa.breakdown.auto_rotor_points,epa.breakdown.teleop_fuel_low,epa.breakdown.teleop_fuel_high,epa.breakdown.teleop_rotor_points,epa.breakdown.takeoff_points,epa.breakdown.kpa,epa.breakdown.gears,epa.breakdown.auto_rp,epa.breakdown.climb_rp,epa.breakdown.auto_run_points,epa.breakdown.auto_switch_secs,epa.breakdown.auto_scale_secs,epa.breakdown.teleop_switch_secs,epa.breakdown.teleop_scale_secs,epa.breakdown.vault_points,epa.breakdown.auto_scale_power,epa.breakdown.switch_power,epa.breakdown.scale_power,epa.breakdown.opp_switch_power,epa.breakdown.rocket_rp,epa.breakdown.hab_rp,epa.breakdown.sandstorm_points,epa.breakdown.bay_hatch_pieces,epa.breakdown.bay_cargo_pieces,epa.breakdown.rocket_hatch_low_pieces,epa.breakdown.rocket_hatch_mid_pieces,epa.breakdown.rocket_hatch_high_pieces,epa.breakdown.rocket_cargo_low_pieces,epa.breakdown.rocket_cargo_mid_pieces,epa.breakdown.rocket_cargo_high_pieces,epa.breakdown.hab_climb_points,epa.breakdown.rocket_pieces,epa.breakdown.bay_pieces,epa.breakdown.cells_rp,epa.breakdown.auto_init_line_points,epa.breakdown.auto_cells_bottom,epa.breakdown.auto_cells_outer,epa.breakdown.auto_cells_inner,epa.breakdown.teleop_cells_bottom,epa.breakdown.teleop_cells_outer,epa.breakdown.teleop_cells_inner,epa.breakdown.control_panel_points,epa.breakdown.cells,epa.breakdown.cargo_rp,epa.breakdown.hangar_rp,epa.breakdown.auto_taxi_points,epa.breakdown.auto_cargo_lower,epa.breakdown.auto_cargo_upper,epa.breakdown.teleop_cargo_lower,epa.breakdown.teleop_cargo_upper,epa.breakdown.cargo,epa.breakdown.links_rp,epa.breakdown.activation_rp,epa.breakdown.auto_charge_station_points,epa.breakdown.auto_pieces,epa.breakdown.auto_grid_points,epa.breakdown.teleop_pieces,epa.breakdown.teleop_grid_points,epa.breakdown.bottom_pieces,epa.breakdown.middle_pieces,epa.breakdown.top_pieces,epa.breakdown.cubes_scored,epa.breakdown.cube_points,epa.breakdown.cones_scored,epa.breakdown.cone_points,epa.breakdown.total_pieces,epa.breakdown.links,epa.breakdown.grid_points,epa.breakdown.endgame_charge_station_points,epa.breakdown.melody_rp,epa.breakdown.ensemble_rp,epa.breakdown.auto_leave_points,epa.breakdown.auto_notes,epa.breakdown.auto_note_points,epa.breakdown.teleop_notes,epa.breakdown.teleop_note_points,epa.breakdown.amp_notes,epa.breakdown.amp_points,epa.breakdown.speaker_notes,epa.breakdown.speaker_points,epa.breakdown.amplified_notes,epa.breakdown.total_notes,epa.breakdown.total_note_points,epa.breakdown.endgame_park_points,epa.breakdown.endgame_on_stage_points,epa.breakdown.endgame_harmony_points,epa.breakdown.endgame_trap_points,epa.breakdown.endgame_spotlight_points,epa.breakdown.coral_rp,epa.breakdown.barge_rp,epa.breakdown.auto_coral,epa.breakdown.auto_coral_points,epa.breakdown.teleop_coral,epa.breakdown.teleop_coral_points,epa.breakdown.coral_l1,epa.breakdown.coral_l2,epa.breakdown.coral_l3,epa.breakdown.coral_l4,epa.breakdown.total_coral_points,epa.breakdown.processor_algae,epa.breakdown.processor_algae_points,epa.breakdown.net_algae,epa.breakdown.net_algae_points,epa.breakdown.total_algae_points,epa.breakdown.total_game_pieces,epa.breakdown.barge_points,epa.breakdown.rp_3
1,2002,The Juggernauts,USA,MI,,1997.0,,,13.72,5.02,1593.0,1554.0,"[-0.84, 0.88]",13.72,11.9,13.72,13.72,154,0.7598,641,150,0.7553,613,22,0.6901,71,154,0.7598,641,8,6,0,14,0.5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2002,Robocards,USA,MI,,1998.0,,,8.56,3.7,1480.0,1410.0,"[-0.82, 0.84]",8.56,11.9,8.56,8.93,568,0.1139,641,543,0.1142,613,64,0.0986,71,568,0.1139,641,6,12,0,18,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2002,The CogSquad,USA,MN,,1994.0,,,12.15,3.76,1558.0,1501.0,"[-1.07, 0.91]",12.15,11.9,12.15,12.15,271,0.5772,641,262,0.5726,613,1,0.5,2,271,0.5772,641,5,4,0,9,0.5556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2002,Team007,USA,MD,,1997.0,,,14.31,4.31,1605.0,1577.0,"[-0.68, 0.94]",14.31,11.9,14.31,14.31,117,0.8175,641,115,0.8124,613,2,0.75,8,117,0.8175,641,16,5,0,21,0.7619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2002,Paly Robotics,USA,CA,,1996.0,,,14.85,2.55,1617.0,1601.0,"[-0.9, 1.0]",14.85,11.9,14.85,15.26,90,0.8596,641,88,0.8564,613,5,0.9342,76,90,0.8596,641,9,5,0,14,0.6429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2002,Roosevelt RoboRiders,USA,IL,,1998.0,,,15.46,5.16,1631.0,1630.0,"[-0.84, 0.79]",15.46,11.9,15.46,16.7,64,0.9002,641,63,0.8972,613,1,0.9091,11,64,0.9002,641,10,7,0,17,0.5882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2002,Red Knights,USA,MN,,1998.0,,,11.69,3.2,1548.0,1488.0,"[-0.89, 1.08]",11.69,11.9,11.69,11.69,323,0.4961,641,312,0.491,613,2,0.0,2,323,0.4961,641,4,5,0,9,0.4444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2002,MORT,USA,NJ,,1997.0,,,12.75,3.47,1572.0,1520.0,"[-0.74, 0.83]",12.75,11.9,12.75,13.29,222,0.6537,641,214,0.6509,613,10,0.6429,28,222,0.6537,641,11,14,0,25,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2002,Bomb Squad,USA,AR,,1996.0,,,16.24,2.78,1648.0,1671.0,"[-0.7, 0.91]",16.24,11.9,16.24,16.24,41,0.936,641,40,0.9347,613,1,0.5,2,41,0.936,641,24,4,0,28,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2002,Big Red,USA,CT,,1992.0,,,10.0,2.62,1512.0,1444.0,"[-0.99, 0.94]",10.0,11.9,10.0,10.0,483,0.2465,641,465,0.2414,613,16,0.36,25,483,0.2465,641,5,5,0,10,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
